leaf_division,leaf_apices,leaf_basics,leaf_shape,margins,patterns,final_decision
n1,acuminate,cordate,ovate,serrate,palmate,1
n2,acuminate,rounded,ovate,entire,pinnate,2
n3,acuminate,cuneate,linear,undulate,pinnate,3
n4,acuminate,attenuate,elliptical,entire,pinnate,4
n5,acuminate,attenuate,lanceolate,sinuate,pinnate,5
n6,rounded,cordate,cordate,entire,pinnate,6
n7,acuminate,cunneate,elliptical,entire,pinnate,7
n8,acuminate,cordate,ovate,doubly_serrate,pinnate,8
n9,acuminate,rounded,lanceolate,entire,pinnate,9
n10,acuminate,rounded,linear,entire,pinnate,10
n31,acuminate,cunneate,linear,undulate,pinnate,31
